,Opportunity Name,Opportunity Unique Identifier,Bridge Name,Country,Level 3 Government,Level 4 Government,Stage,Sub-Stage,Individuals Directly Served,River Name,Site Validation,Proposed Bridge Location (GPS) (Latitude),Proposed Bridge Location (GPS) (Longitude),Reason site not valid,Site Validation Comments,Flag for Rejection,Rejection Reason,River crossing deaths in last 3 years,Incident descriptions,Days per year river is flooded,Flood duration during rainy season,Notes on social information,Width of River During Flooding (m),Nearest all-weather crossing point,360° with site description video on Box,Health access blocked by river,Education access blocked by river,Market access blocked by river,Other access blocked by river,GPS (Longitude),GPS (Latitude),Waterway or Obstacle Classification,Transportation Route Classification,Environment Classification,Form: Created Date,Level 1 Government,Level 2 Government,geometry,latitude,longitude,priority
29,Côte d'Ivoire - Bledie - 1042872,1042872,Bledie,Côte d'Ivoire,Dogbo,Bledie,Identified,,,Rivière Doumbia,Not applicable,4.872372,-7.000259,,,No,,0,5,60.0,2,,13.0,3,Non,Clinique ou centre de santé - Clinic or Health Center;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",-7.000259,4.872372,River,Walking path,Rural,11/7/22,San Pedro,San-Pédro,POINT (-7.000259 4.872372),4.872372,-7.000259,no
30,Côte d'Ivoire - Djihimbo 5 - 1043790,1043790,Djihimbo 5,Côte d'Ivoire,Grand bereby,Djihimbo,Identified,,,Nehangba,Not applicable,4.651379,-7.222002,,,No,,0,0,28.0,5,Président du GSC,6.0,1,Non,Hôpital - Hospital,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc)",-7.222002,4.651379,swamp (water year round),Walking path,Rural,12/9/22,San Pedro,San-Pédro,POINT (-7.222002 4.651379),4.651379,-7.222002,no
31,Côte d'Ivoire - Djihimbo 2 - 1043791,1043791,Djihimbo 2,Côte d'Ivoire,Grand bereby,Djihimbo,Identified,,,Bas-fonds collège de proximité,Not applicable,4.654421,-7.220741,,,No,,0,0,10.0,1,Président du GSC de djihimbo,6.0,1,Non,Hôpital - Hospital,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court)",-7.220741,4.654421,"mudflat (low point with stagnant water, seasonally)",Walking path,Rural,12/9/22,San Pedro,San-Pédro,POINT (-7.220741 4.654421),4.654421,-7.220741,no
32,Côte d'Ivoire - Djihimbo 4 - 1043789,1043789,Djihimbo 4,Côte d'Ivoire,Grand bereby,Djihimbo,Identified,,,Nehangba,Not applicable,4.650554,-7.221307,,,No,,0,0,28.0,7,Président du GSC de djihimbo,11.0,3,Non,Hôpital - Hospital,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court)",-7.221307,4.650554,River,Walking path,Rural,12/9/22,San Pedro,San-Pédro,POINT (-7.221307 4.650554),4.650554,-7.221307,no
33,Côte d'Ivoire - Djihimbo3 - 1043793,1043793,Djihimbo3,Côte d'Ivoire,Grand bereby,Djihimbo,Identified,,,Nehangba,Not applicable,4.650641,-7.220173,,,No,,0,0,30.0,7,Président du GSC de djihimbo,7.0,2,Non,,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc)",-7.220173,4.650641,"mudflat (low point with stagnant water, seasonally)",motorcycle accessible path,Rural,12/9/22,San Pedro,San-Pédro,POINT (-7.220173 4.650641),4.650641,-7.220173,no
34,Côte d'Ivoire - Grobonou dan - 1042665,1042665,Grobonou dan,Côte d'Ivoire,Gabiadji,Grobonou dan,Rejected,Vehicular Bridge Required,,Ajoutou goli,Not applicable,5.048925,-6.395642,,Passage de véhicules,Yes,Passage de véhicules,0,4,10.0,1,Pont déjà sur place,35.0,Aucune,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-6.395642,5.048925,"mudflat (low point with stagnant water, seasonally)",non-graded road or car/vehicle accessible path,Rural,10/31/22,San Pedro,San-Pédro,POINT (-6.395642 5.048925),5.048925,-6.395642,no
35,Côte d'Ivoire - Berrakro - 1042526,1042526,Berrakro,Côte d'Ivoire,Gabiadji,Gnity,Identified,,,Menee,Not applicable,5.128878,-6.566364,,,Yes,,0,0,21.0,1,Membres de la communauté,49.0,Aucune,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-6.566364,5.128878,"mudflat (low point with stagnant water, seasonally)",non-graded road or car/vehicle accessible path,Rural,10/24/22,San Pedro,San-Pédro,POINT (-6.566364 5.128878),5.128878,-6.566364,no
36,Côte d'Ivoire - Grobonou dan - 1042666,1042666,Grobonou dan,Côte d'Ivoire,Gabiadji,Grobonou dan,Identified,,,Cma,Not applicable,5.05918,-6.4038,,,No,,0,23,14.0,1,Membres du bureau du GSC,72.0,"0,5",Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Usine ou Installation de transformation agricole - Factory or processing facilities;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-6.4038,5.05918,River,Walking path,Rural,10/31/22,San Pedro,San-Pédro,POINT (-6.4038 5.05918),5.05918,-6.4038,no
37,Côte d'Ivoire - Blahou - 1042667,1042667,Blahou,Côte d'Ivoire,Gabiadji,Blahou,Identified,,,Menee,Not applicable,4.91405,-6.550145,,,No,,0,Impossible de travailler et de traversée en saison de pluie hommes et marchandises,14.0,1,Membres de la communauté,25.0,Aucune,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Opportunités d'emploi - Employment opportunities,"accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-6.550145,4.91405,River,Walking path,Rural,10/31/22,San Pedro,San-Pédro,POINT (-6.550145 4.91405),4.91405,-6.550145,yes
38,Côte d'Ivoire - Pont ballokro - 1044790,1044790,Pont ballokro,Côte d'Ivoire,Grand bereby,Pont nero,Identified,,,Nero,Not applicable,4.762989,-6.955207,,,No,,0,Baissés graves avec des cargaisons emporté,25.0,2,Membres de la communauté La rivière traverse une route de véhicules mais la population souhaite avoir une traversée si possible à côté pour les piétons en saison des pluie car la rivière est dangereuse à traversée lors qu'elle déborde,25.0,Aucune,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms;Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Lieu pour charger les appareils électroniques - Electronic charging station;Achat des unités ou de données - Airtime or data purchase",-6.955207,4.762989,"mudflat (low point with stagnant water, seasonally)",non-graded road or car/vehicle accessible path,Rural,2/13/23,San Pedro,San-Pédro,POINT (-6.955207 4.762989),4.762989,-6.955207,no
39,Côte d'Ivoire - Premier pont - 1044792,1044792,Premier pont,Côte d'Ivoire,San-pedro,Baba,Identified,,,30,Not applicable,4.771714,-6.740249,,,No,,1,Plusieurs personnes tombent dans l'eau avec leur cargaisons,48.0,7,De la communauté,30.0,Aucune,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University;EFTP ou école professionnelle/de métier - TVET or Vocational school,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Usine ou Installation de transformation agricole - Factory or processing facilities,"Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Lieu pour charger les appareils électroniques - Electronic charging station;accès à l'internet - Internet access",-6.740249,4.771714,swamp (water year round),Walking path,Rural,2/13/23,San Pedro,San-Pédro,POINT (-6.740249 4.771714),4.771714,-6.740249,yes
40,Côte d'Ivoire - Pont wolo - 1044813,1044813,Pont wolo,Côte d'Ivoire,Grand bereby,Kako,Identified,,,Wolo,Not applicable,4.811341,-7.099565,,,No,,3,Des dégâts graves des baissés et des cargaisons emporté,28.0,5,Membres de la communauté répondant aux questions,25.0,Aucune,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc);Achat des unités ou de données - Airtime or data purchase;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.099565,4.811341,River,Walking path,Rural,2/15/23,San Pedro,San-Pédro,POINT (-7.099565 4.811341),4.811341,-7.099565,yes
41,Côte d'Ivoire - Pont Gohokro horo - 1044815,1044815,Pont Gohokro horo,Côte d'Ivoire,Grand bereby,Kako,Identified,,,Horo,Not applicable,4.811297,-7.06693,,,No,,1,Emporté des cargaisons,40.0,5,Membres de la communauté,32.0,Aucune,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital;Pharmacie - Pharmacy,École Secondaire - Secondary school;École Primaire - Primary;Collège ou Université - University;EFTP ou école professionnelle/de métier - TVET or Vocational school,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);accès à l'internet - Internet access;Achat des unités ou de données - Airtime or data purchase",-7.06693,4.811297,River,Walking path,Rural,2/15/23,San Pedro,San-Pédro,POINT (-7.06693 4.811297),4.811297,-7.06693,no
42,Côte d'Ivoire - Patake 1 - 1044858,1044858,Patake 1,Côte d'Ivoire,Grand bereby,Patake,Identified,,,Patake,Not applicable,4.624536,-7.239314,,,No,,0,0,11.0,6,Secrétaire adjoint Gsc de djihimbo,20.0,5,Non,Hôpital - Hospital;Pharmacie - Pharmacy,École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Feme - Farms,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Services financiers (banque, ATM, Mobile Money) - Financial services (bank,ATM,sacco);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Divertissement (bar, club, restaurant, etc.) - Entertainment (bar,club, restaurant, etc)",-7.239314,4.624536,"mudflat (low point with stagnant water, seasonally)",non-graded road or car/vehicle accessible path,Rural,2/20/23,San Pedro,San-Pédro,POINT (-7.239314 4.624536),4.624536,-7.239314,no
43,Côte d'Ivoire - Malan1 - 1044816,1044816,Malan1,Côte d'Ivoire,Grand bereby,Malan,Identified,,,Bas-fonds malan,Not applicable,4.828915,-7.026486,,,No,,0,Baissés graves avec cargaisons emporté,25.0,3,Membres de la communauté,12.0,1km,Non,Clinique ou centre de santé - Clinic or Health Center;Hôpital - Hospital,École Secondaire - Secondary school;École Primaire - Primary,Marché journalier - Market (daily);Marché hebdomadaire - Market (weekly);Marché mensuel - Market (Monthly);Opportunités d'emploi - Employment opportunities,"Lieu de culte (Eglise, Mosquée, Temple, etc) - Place of worship (church,mosque,temple, etc);Lieu de récréation (Terrain de sport) - Recreation facility (sports field or court);Lieu pour charger les appareils électroniques - Electronic charging station;Autre - (si sélectionné, expliquez la raison de l'autre dans ""informations sociales"" - Other - (if selected explain the reason for other in ""social information""",-7.026486,4.828915,swamp (water year round),Walking path,Rural,2/15/23,San Pedro,San-Pédro,POINT (-7.026486 4.828915),4.828915,-7.026486,no
